,title,genre,description,img_link
0,Ancient Apocalypse,Documentary,What if everything we know about prehistory is wrong? Journalist Graham Hancock visits archaeological sites around the world investigating if a civilization far more advanced than we ever believed possible existed thousands of years ago.,Documentary_01.jpg
1,Stutz,Documentary,Follow Hill and his therapist as he has candid discussions of mental health and the progressively worsening anxiety attacks related to movie promotion that have turned his dream job into a nightmare.,Documentary_02.jpg
2,Limitless,Documentary,"A different way we can live better for longer: regenerating damage, maximizing strength, building resilience, shocking the body, supercharging memory and confronting mortality.",Documentary_03.jpg
3,FIFA Uncovered,Documentary,"From power struggles to global politics, an exploration of FIFA reveals the organization's checkered history and what it takes to host a World Cup.",Documentary_04.jpg
4,"Pepsi, Where's My Jet?",Documentary,"When a 20-year-old attempts to win a fighter jet in a Pepsi sweepstakes, he sets the stage for a David versus Goliath court battle for the history books.",Documentary_05.jpg
5,Capturing the Killer Nurse,Documentary,This documentary reveals how investigators proved ICU nurse Charles Cullen was killing patients — and how close he came to getting away with murder.,Documentary_06.jpg
6,God Forbid,Documentary,"Giancarlo Granda, former pool attendant at the Fontainebleau Hotel, shares the intimate details of his 7-year relationship with a charming older woman, Becki Falwell, and her husband, the Evangelical Trump stalwart Jerry Falwell Jr.",Documentary_07.jpg
7,Killer Sally,Documentary,"Interviews with friends, family and Sally McNeil herself chart a bodybuilding couple's rocky marriage and its shocking end in a Valentine's Day murder.",Documentary_08.jpg
8,Down to Earth with Zac Efron,Documentary,"In this travel show, actor Zac Efron journeys around the world with wellness expert Darin Olien in search of healthy, sustainable ways to live.",Documentary_09.jpg
9,Selena Gomez: My Mind & Me,Documentary,"After years in the limelight, Selena Gomez achieves unimaginable stardom. But just as she reaches a new peak, an unexpected turn pulls her into darkness.",Documentary_010.jpg
10,Welcome to Wrexham,Documentary,"Docuseries chronicling the purchase and stewardship of Wrexham AFC, one of professional football's oldest clubs, by two Hollywood actors, Ryan Reynolds and Rob McElhenney.",Documentary_011.jpg
11,The Vow,Documentary,"A look at the experiences of the members of the NXIVM, an organization and sex cult that made headlines for being charged with sex trafficking, racketeering, and conspiracy.",Documentary_012.jpg
12,Savage x Fenty Show Vol. 4,Documentary,"In its 4th year, the annual fashion experience promises to break boundaries with new all-star lineup of models, actors, biggest names in music. Rihanna debuts the latest Savage X Fenty styles, blending stellar choreography, style and music",Documentary_013.jpg
13,Unsolved Mysteries,Documentary,"Immersive, character-driven stories are rooted in the experiences of ordinary people who have lived the unthinkable. Families, detectives and journalists hope viewers hold the clues to solving these mysteries.",Documentary_014.jpg
14,Fire of Love,Documentary,Intrepid scientists and lovers Katia and Maurice Krafft died in a volcanic explosion doing the very thing that brought them together: unraveling the mysteries of volcanoes by capturing the most explosive imagery ever recorded.,Documentary_015.jpg
15,What Is a Woman?,Documentary,"Political commentator Matt Walsh explores the changing concepts of sex and gender in the digital age, particularly the transgender rights movement, transphobia, and what it means to be a woman.",Documentary_016.jpg
16,Moonage Daydream,Documentary,"A cinematic odyssey exploring David Bowie's creative and musical journey. From visionary filmmaker Brett Morgen, and sanctioned by the Bowie estate.",Documentary_017.jpg
17,Hebrews to Negroes: Wake Up Black America,Documentary,"Based on Ronald Dalton's book series of the same name, the film aims to prove the Black Hebrew Israelites (BHI) belief that certain people of color, including Black Americans, are the true descendants of the biblical Israelites.",Documentary_018.jpg
18,The Curse of Oak Island,Documentary,"Rick and Marty Lagina, two brothers from Michigan with a life-long interest in the mystery of Oak Island, renew efforts to discover the legendary treasure with sophisticated machinery.",Documentary_019.jpg
19,Planeettamme Maa II,Documentary,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,Documentary_020.jpg
20,The Rehearsal,Documentary,Nathan Fielder gives people a chance to rehearse for their own lives in a world where nothing ever works out as expected.,Documentary_021.jpg
21,Orgasm Inc.: The Story of OneTaste,Documentary,"A sexual wellness company gains fame and followers for its practice of ""orgasmic meditation"" — until members come forward with disturbing allegations.",Documentary_022.jpg
22,Clarkson's Farm,Documentary,Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,Documentary_023.jpg
23,The Greatest Lie Ever Sold: George Floyd and the Rise of BLM,Documentary,"On the 2-year anniversary of George Floyd's death, Candace revisits Minneapolis and the violent, racially-divided aftermath that fueled BLM's global rise-and filled its coffers.",Documentary_024.jpg
24,I Am Vanessa Guillen,Documentary,"Follow the tragic story of the young woman who dreamed of a military career, however after telling her mother that she was being harassed at the Fort Hood military base, Vanessa Guillen was killed by a partner.",Documentary_025.jpg
25,Vatican Girl: The Disappearance of Emanuela Orlandi,Documentary,"A 15 year-old girl living in Vatican City, disappeared under mysterious circumstances that are believed to have involved the Vatican.",Documentary_026.jpg
26,Is That Black Enough for You?!?,Documentary,"Tracks the history of Black cinema, focused mainly on the '70s, with archival and new interviews with many of the key players from the era.",Documentary_027.jpg
27,Master of Light,Documentary,"George Anthony Morton, a classical painter who spent ten years in federal prison travels to his hometown to paint his family members. Going back forces George to face his past in his quest to rewrite the script of his life.",Documentary_028.jpg
28,Abducted in Plain Sight,Documentary,"The twisting, turning, stranger-than-fiction true story of the Brobergs, a naive, church-going Idaho family that fell under the spell of a sociopathic neighbor with designs on their twelve-year-old daughter.",Documentary_029.jpg
29,Nathan for You,Documentary,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for.",Documentary_030.jpg
30,Save Our Squad,Documentary,"Follows Beckham returning to the East London football pitches where he played as a child. He will mentor a young grassroots side, struggling to survive in the league.",Documentary_031.jpg
31,Low Country: The Murdaugh Dynasty,Documentary,"Follows the investigation of Alex Murdaugh, a lawyer accused of murdering his wife and his son Paul, on the night of June 7, 2021.",Documentary_032.jpg
32,Ghost Adventures,Documentary,"Zak Bagans, Aaron Goodwin, Billy Tolley, and Jay Wasley investigate the scariest, most notorious, haunted places in the world.",Documentary_033.jpg
33,Sr.,Documentary,"Follow the tender but appropriately irreverent account of the life and career of Robert Downey Sr., the fearless and visionary American director who set the standard for countercultural comedy in the 1960s and 1970s.",Documentary_034.jpg
34,The Last Dance,Documentary,"Charting the rise of the 1990s Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.",Documentary_035.jpg
35,State of Alabama vs. Brittany Smith,Documentary,Tells the harrowing story of a woman trying to use Alabama's Stand Your Ground law after killing a man she says brutally attacked her.,Documentary_036.jpg
36,Good Night Oppy,Documentary,"The film follows Opportunity, the Mars Exploration Rover affectionately dubbed Oppy by her creators and scientists at NASA. Oppy was originally expected to live for only 90 days but she ultimately explored Mars for nearly 15 years.",Documentary_037.jpg
37,In Her Hands,Documentary,"At 26, Zarifa Ghafari, became one of Afghanistan's first female mayors and the youngest to ever hold the position. Filmed over two turbulent years, the film documents her personal battle for survival as her country unravels.",Documentary_038.jpg
38,The Royal Mob,Documentary,"The saga told through Queen Victoria's four favorite granddaughters the Hesse sisters, about the extended royal family that once ruled large parts of Europe, and how their loves, marriages and feuds triggered World War I.",Documentary_039.jpg
39,Cunk on Earth,Documentary,Follows Philomena Cunk as she comically tells the story of our greatest inventions and asks experts hard-hitting questions about humanity's progress.,Documentary_040.jpg
40,They Shall Not Grow Old,Documentary,A documentary about World War I with never-before-seen footage to commemorate the centennial of the end of the war.,Documentary_041.jpg
